site_name,walk_active,cycle_active,drive_active,other_active
allerton-bywater,26,51,347,116
ashton-park,390,502,1161,291
aylesbury,382,477,1420,447
aylesham,123,105,565,169
bailrigg,643,546,992,513
bath-riverside,868,181,375,393
bicester,557,992,3459,910
castlemead,87,125,309,69
chapelford,230,538,1303,260
clackers-brook,113,126,326,59
culm,177,208,964,214
dickens-heath,98,324,1078,237
didcot,326,559,1665,485
dunton-hills,37,354,2266,1076
ebbsfleet,411,837,2878,2317
great-kneighton,447,844,461,409
halsnead,126,235,754,330
hampton,665,1706,3001,1250
handforth,184,279,824,216
kidbrooke-village,277,456,813,2372
lcid,237,28,131,156
long-marston,16,270,2307,320
micklefield,11,10,199,54
newcastle-great-park,326,756,1797,1164
poundbury,612,332,745,183
priors-hall,299,654,3016,658
taunton-firepool,361,174,210,95
taunton-garden,669,1321,1859,520
tresham,19,68,1138,164
trumpington-meadows,132,390,392,181
tyersal-lane,31,7,123,55
upton,93,350,838,184
wichelstowe,748,1036,1985,643
wixams,45,695,2827,638
wynyard,13,212,1874,256
