names,description,title
site_name,name of site,Site name
dwellings_when_complete,estimated number of dwellings at completion,Number of dwellings
pwalk,percentage who commute by foot in baseline scenario,Walking mode share
pcycle,percentage who commute by bicycle in baseline scenario,Cycling mode share
pdrive,percentage who commute as car/van drivers in baseline scenario,Driving mode share
pbus,percentage who commute by bus in baseline scenario,Bus mode share
prail,percentage who commute by train or light rail in baseline scenario,Rail mode share
pother,percentage who commute by taxi, motorbike or other mode or as car/van passengers in baseline scenario,Other mode share
weightedJobsPTt,"average minimum travel time to centres of employment by walking/public transport (weighted mean of travel times to LSOAs with 100-499, 500-4999 and 5000+ jobs; using population weighted mean of the minimum journey times from each OA centroid)",Travel time to nearest employment centre by foot/public transport
weightedJobsCyct,"average minimum travel time to centres of employment by cycling (weighted mean of travel times to LSOAs with >100, >500 and >5000 jobs; using population weighted mean of the minimum journey times from each OA centroid)",Travel time to nearest employment centre by bicycle
weightedJobsCart,"average minimum travel time to centres of employment by car (weighted mean of travel times to LSOAs with >100, >500 and >5000 jobs; using population weighted mean of the minimum journey times from each OA centroid)",Travel time to nearest employment centre by car
PSPTt,average minimum travel time to primary schools by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest primary school by foot/public transport
PSCyct,average minimum travel time to primary schools by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest primary school by bicycle
PSCart,average minimum travel time to primary schools by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest primary school by car
SSPTt,average minimum travel time to secondary schools by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest secondary school by foot/public transport
SSCyct,average minimum travel time to secondary schools by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest secondary school by bicycle
SSCart,average minimum travel time to secondary schools by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest secondary school by car
FEPTt,average minimum travel time to further education colleges by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest FE college by foot/public transport
FECyct,average minimum travel time to further education colleges by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest FE college by bicycle
FECart,average minimum travel time to further education colleges by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest FE college by car
GPPTt,average minimum travel time to doctors' surgeries by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest GP surgery by foot/public transport
GPCyct,average minimum travel time to doctors' surgeries by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest GP surgery by bicycle
GPCart,average minimum travel time to doctors' surgeries by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest GP surgery by car
HospPTt,average minimum travel time to hospitals by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest hospital by foot/public transport
HospCyct,average minimum travel time to hospitals by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest hospital by bicycle
HospCart,average minimum travel time to hospitals by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest hospital by car
FoodPTt,average minimum travel time to food stores by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest food store by foot/public transport
FoodCyct,average minimum travel time to food stores by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest food store by bicycle
FoodCart,average minimum travel time to food stores by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest food store by car
TownPTt,average minimum travel time to town centres by walking/public transport (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest town centre by foot/public transport
TownCyct,average minimum travel time to town centres by cycling (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest town centre by bicycle
TownCart,average minimum travel time to town centres by car (using population weighted mean of the minimum journey times from each OA centroid),Travel time to nearest town centre by car
