site_name,dwellings_when_complete
allerton-bywater,562
lcid,520
tyersal-lane,270
micklefield,292
chapelford,2110
dickens-heath,1672
newcastle-great-park,4400
poundbury,2200
upton,1382
wichelstowe,4500
wynyard,2600
hampton,6900
wixams,4500
ashton-park,2500
clackers-brook,670
castlemead,650
great-kneighton,2300
taunton-firepool,747
trumpington-meadows,1200
priors-hall,5095
bailrigg,3500
halsnead,1589
handforth,1650
tresham,1500
long-marston,3500
dunton-hills,4000
aylesham,1200
culm,1750
bicester,6000
aylesbury,3000
didcot,3300
taunton-garden,4500
ebbsfleet,6200
kidbrooke-village,4763
bath-riverside,2280
